otel,dd,description
distsender_rpc_err_intentmissingerrtype,cockroachdb.distsender.rpc.err.intentmissingerrtype.count,Number of IntentMissingErrType errors received replica-bound RPCs This counts how often error of the specified type was received back from replicas as part of executing possibly range-spanning requests. Failures to reach the target replica will be accounted for as 'roachpb.CommunicationErrType' and unclassified errors as 'roachpb.InternalErrType'.
distsender_rpc_err_internalerrtype,cockroachdb.distsender.rpc.err.internalerrtype.count,Number of InternalErrType errors received replica-bound RPCs This counts how often error of the specified type was received back from replicas as part of executing possibly range-spanning requests. Failures to reach the target replica will be accounted for as 'roachpb.CommunicationErrType' and unclassified errors as 'roachpb.InternalErrType'.
distsender_rpc_err_invalidleaseerrtype,cockroachdb.distsender.rpc.err.invalidleaseerrtype.count,Number of InvalidLeaseErrType errors received replica-bound RPCs This counts how often error of the specified type was received back from replicas as part of executing possibly range-spanning requests. Failures to reach the target replica will be accounted for as 'roachpb.CommunicationErrType' and unclassified errors as 'roachpb.InternalErrType'.
distsender_rpc_err_leaserejectederrtype,cockroachdb.distsender.rpc.err.leaserejectederrtype.count,Number of LeaseRejectedErrType errors received replica-bound RPCs This counts how often error of the specified type was received back from replicas as part of executing possibly range-spanning requests. Failures to reach the target replica will be accounted for as 'roachpb.CommunicationErrType' and unclassified errors as 'roachpb.InternalErrType'.
distsender_rpc_err_lockconflicterrtype,cockroachdb.distsender.rpc.err.lockconflicterrtype.count,Number of LockConflictErrType errors received replica-bound RPCs This counts how often error of the specified type was received back from replicas as part of executing possibly range-spanning requests. Failures to reach the target replica will be accounted for as 'roachpb.CommunicationErrType' and unclassified errors as 'roachpb.InternalErrType'.
distsender_rpc_err_mergeinprogresserrtype,cockroachdb.distsender.rpc.err.mergeinprogresserrtype.count,Number of MergeInProgressErrType errors received replica-bound RPCs This counts how often error of the specified type was received back from replicas as part of executing possibly range-spanning requests. Failures to reach the target replica will be accounted for as 'roachpb.CommunicationErrType' and unclassified errors as 'roachpb.InternalErrType'.
distsender_rpc_err_mintimestampboundunsatisfiableerrtype,cockroachdb.distsender.rpc.err.mintimestampboundunsatisfiableerrtype.count,Number of MinTimestampBoundUnsatisfiableErrType errors received replica-bound RPCs This counts how often error of the specified type was received back from replicas as part of executing possibly range-spanning requests. Failures to reach the target replica will be accounted for as 'roachpb.CommunicationErrType' and unclassified errors as 'roachpb.InternalErrType'.
distsender_rpc_err_mvcchistorymutationerrtype,cockroachdb.distsender.rpc.err.mvcchistorymutationerrtype.count,Number of MVCCHistoryMutationErrType errors received replica-bound RPCs This counts how often error of the specified type was received back from replicas as part of executing possibly range-spanning requests. Failures to reach the target replica will be accounted for as 'roachpb.CommunicationErrType' and unclassified errors as 'roachpb.InternalErrType'.
distsender_rpc_err_nodeunavailableerrtype,cockroachdb.distsender.rpc.err.nodeunavailableerrtype.count,Number of NodeUnavailableErrType errors received replica-bound RPCs This counts how often error of the specified type was received back from replicas as part of executing possibly range-spanning requests. Failures to reach the target replica will be accounted for as 'roachpb.CommunicationErrType' and unclassified errors as 'roachpb.InternalErrType'.
distsender_rpc_err_notleaseholdererrtype,cockroachdb.distsender.rpc.err.notleaseholdererrtype.count,Number of NotLeaseHolderErrType errors received replica-bound RPCs This counts how often error of the specified type was received back from replicas as part of executing possibly range-spanning requests. Failures to reach the target replica will be accounted for as 'roachpb.CommunicationErrType' and unclassified errors as 'roachpb.InternalErrType'.
distsender_rpc_err_oprequirestxnerrtype,cockroachdb.distsender.rpc.err.oprequirestxnerrtype.count,Number of OpRequiresTxnErrType errors received replica-bound RPCs This counts how often error of the specified type was received back from replicas as part of executing possibly range-spanning requests. Failures to reach the target replica will be accounted for as 'roachpb.CommunicationErrType' and unclassified errors as 'roachpb.InternalErrType'.
distsender_rpc_err_optimisticevalconflictserrtype,cockroachdb.distsender.rpc.err.optimisticevalconflictserrtype.count,Number of OptimisticEvalConflictsErrType errors received replica-bound RPCs This counts how often error of the specified type was received back from replicas as part of executing possibly range-spanning requests. Failures to reach the target replica will be accounted for as 'roachpb.CommunicationErrType' and unclassified errors as 'roachpb.InternalErrType'.
distsender_rpc_err_raftgroupdeletederrtype,cockroachdb.distsender.rpc.err.raftgroupdeletederrtype.count,Number of RaftGroupDeletedErrType errors received replica-bound RPCs This counts how often error of the specified type was received back from replicas as part of executing possibly range-spanning requests. Failures to reach the target replica will be accounted for as 'roachpb.CommunicationErrType' and unclassified errors as 'roachpb.InternalErrType'.
distsender_rpc_err_rangefeedretryerrtype,cockroachdb.distsender.rpc.err.rangefeedretryerrtype.count,Number of RangeFeedRetryErrType errors received replica-bound RPCs This counts how often error of the specified type was received back from replicas as part of executing possibly range-spanning requests. Failures to reach the target replica will be accounted for as 'roachpb.CommunicationErrType' and unclassified errors as 'roachpb.InternalErrType'.
distsender_rpc_err_rangekeymismatcherrtype,cockroachdb.distsender.rpc.err.rangekeymismatcherrtype.count,Number of RangeKeyMismatchErrType errors received replica-bound RPCs This counts how often error of the specified type was received back from replicas as part of executing possibly range-spanning requests. Failures to reach the target replica will be accounted for as 'roachpb.CommunicationErrType' and unclassified errors as 'roachpb.InternalErrType'.
distsender_rpc_err_rangenotfounderrtype,cockroachdb.distsender.rpc.err.rangenotfounderrtype.count,Number of RangeNotFoundErrType errors received replica-bound RPCs This counts how often error of the specified type was received back from replicas as part of executing possibly range-spanning requests. Failures to reach the target replica will be accounted for as 'roachpb.CommunicationErrType' and unclassified errors as 'roachpb.InternalErrType'.
distsender_rpc_err_readwithinuncertaintyintervalerrtype,cockroachdb.distsender.rpc.err.readwithinuncertaintyintervalerrtype.count,Number of ReadWithinUncertaintyIntervalErrType errors received replica-bound RPCs This counts how often error of the specified type was received back from replicas as part of executing possibly range-spanning requests. Failures to reach the target replica will be accounted for as 'roachpb.CommunicationErrType' and unclassified errors as 'roachpb.InternalErrType'.
distsender_rpc_err_refreshfailederrtype,cockroachdb.distsender.rpc.err.refreshfailederrtype.count,Number of RefreshFailedErrType errors received replica-bound RPCs This counts how often error of the specified type was received back from replicas as part of executing possibly range-spanning requests. Failures to reach the target replica will be accounted for as 'roachpb.CommunicationErrType' and unclassified errors as 'roachpb.InternalErrType'.
distsender_rpc_err_replicacorruptionerrtype,cockroachdb.distsender.rpc.err.replicacorruptionerrtype.count,Number of ReplicaCorruptionErrType errors received replica-bound RPCs This counts how often error of the specified type was received back from replicas as part of executing possibly range-spanning requests. Failures to reach the target replica will be accounted for as 'roachpb.CommunicationErrType' and unclassified errors as 'roachpb.InternalErrType'.
distsender_rpc_err_replicatooolderrtype,cockroachdb.distsender.rpc.err.replicatooolderrtype.count,Number of ReplicaTooOldErrType errors received replica-bound RPCs This counts how often error of the specified type was received back from replicas as part of executing possibly range-spanning requests. Failures to reach the target replica will be accounted for as 'roachpb.CommunicationErrType' and unclassified errors as 'roachpb.InternalErrType'.
distsender_rpc_err_storenotfounderrtype,cockroachdb.distsender.rpc.err.storenotfounderrtype.count,Number of StoreNotFoundErrType errors received replica-bound RPCs This counts how often error of the specified type was received back from replicas as part of executing possibly range-spanning requests. Failures to reach the target replica will be accounted for as 'roachpb.CommunicationErrType' and unclassified errors as 'roachpb.InternalErrType'.
distsender_rpc_err_transactionabortederrtype,cockroachdb.distsender.rpc.err.transactionabortederrtype.count,Number of TransactionAbortedErrType errors received replica-bound RPCs This counts how often error of the specified type was received back from replicas as part of executing possibly range-spanning requests. Failures to reach the target replica will be accounted for as 'roachpb.CommunicationErrType' and unclassified errors as 'roachpb.InternalErrType'.
distsender_rpc_err_transactionpusherrtype,cockroachdb.distsender.rpc.err.transactionpusherrtype.count,Number of TransactionPushErrType errors received replica-bound RPCs This counts how often error of the specified type was received back from replicas as part of executing possibly range-spanning requests. Failures to reach the target replica will be accounted for as 'roachpb.CommunicationErrType' and unclassified errors as 'roachpb.InternalErrType'.
distsender_rpc_err_transactionretryerrtype,cockroachdb.distsender.rpc.err.transactionretryerrtype.count,Number of TransactionRetryErrType errors received replica-bound RPCs This counts how often error of the specified type was received back from replicas as part of executing possibly range-spanning requests. Failures to reach the target replica will be accounted for as 'roachpb.CommunicationErrType' and unclassified errors as 'roachpb.InternalErrType'.
distsender_rpc_err_transactionretrywithprotorefresherrtype,cockroachdb.distsender.rpc.err.transactionretrywithprotorefresherrtype.count,Number of TransactionRetryWithProtoRefreshErrType errors received replica-bound RPCs This counts how often error of the specified type was received back from replicas as part of executing possibly range-spanning requests. Failures to reach the target replica will be accounted for as 'roachpb.CommunicationErrType' and unclassified errors as 'roachpb.InternalErrType'.
distsender_rpc_err_transactionstatuserrtype,cockroachdb.distsender.rpc.err.transactionstatuserrtype.count,Number of TransactionStatusErrType errors received replica-bound RPCs This counts how often error of the specified type was received back from replicas as part of executing possibly range-spanning requests. Failures to reach the target replica will be accounted for as 'roachpb.CommunicationErrType' and unclassified errors as 'roachpb.InternalErrType'.
distsender_rpc_err_txnalreadyencounterederrtype,cockroachdb.distsender.rpc.err.txnalreadyencounterederrtype.count,Number of TxnAlreadyEncounteredErrType errors received replica-bound RPCs This counts how often error of the specified type was received back from replicas as part of executing possibly range-spanning requests. Failures to reach the target replica will be accounted for as 'roachpb.CommunicationErrType' and unclassified errors as 'roachpb.InternalErrType'.
distsender_rpc_err_unsupportedrequesterrtype,cockroachdb.distsender.rpc.err.unsupportedrequesterrtype.count,Number of UnsupportedRequestErrType errors received replica-bound RPCs This counts how often error of the specified type was received back from replicas as part of executing possibly range-spanning requests. Failures to reach the target replica will be accounted for as 'roachpb.CommunicationErrType' and unclassified errors as 'roachpb.InternalErrType'.
distsender_rpc_err_writeintenterrtype,cockroachdb.distsender.rpc.err.writeintenterrtype.count,Number of WriteIntentErrType errors received replica-bound RPCs This counts how often error of the specified type was received back from replicas as part of executing possibly range-spanning requests. Failures to reach the target replica will be accounted for as 'roachpb.CommunicationErrType' and unclassified errors as 'roachpb.InternalErrType'.
distsender_rpc_err_writetooolderrtype,cockroachdb.distsender.rpc.err.writetooolderrtype.count,Number of WriteTooOldErrType errors received replica-bound RPCs This counts how often error of the specified type was received back from replicas as part of executing possibly range-spanning requests. Failures to reach the target replica will be accounted for as 'roachpb.CommunicationErrType' and unclassified errors as 'roachpb.InternalErrType'.
distsender_rpc_export_sent,cockroachdb.distsender.rpc.export.sent.count,"Number of Export requests processed. This counts the requests in batches handed to DistSender, not the RPCs sent to individual Ranges as a result."
distsender_rpc_gc_sent,cockroachdb.distsender.rpc.gc.sent.count,"Number of GC requests processed. This counts the requests in batches handed to DistSender, not the RPCs sent to individual Ranges as a result."
distsender_rpc_get_sent,cockroachdb.distsender.rpc.get.sent.count,"Number of Get requests processed. This counts the requests in batches handed to DistSender, not the RPCs sent to individual Ranges as a result."
distsender_rpc_heartbeattxn_sent,cockroachdb.distsender.rpc.heartbeattxn.sent.count,"Number of HeartbeatTxn requests processed. This counts the requests in batches handed to DistSender, not the RPCs sent to individual Ranges as a result."
distsender_rpc_increment_sent,cockroachdb.distsender.rpc.increment.sent.count,"Number of Increment requests processed. This counts the requests in batches handed to DistSender, not the RPCs sent to individual Ranges as a result."
distsender_rpc_initput_sent,cockroachdb.distsender.rpc.initput.sent.count,"Number of InitPut requests processed. This counts the requests in batches handed to DistSender, not the RPCs sent to individual Ranges as a result."
distsender_rpc_isspanempty_sent,cockroachdb.distsender.rpc.isspanempty.sent.count,"Number of IsSpanEmpty requests processed. This counts the requests in batches handed to DistSender, not the RPCs sent to individual Ranges as a result."
distsender_rpc_leaseinfo_sent,cockroachdb.distsender.rpc.leaseinfo.sent.count,"Number of LeaseInfo requests processed. This counts the requests in batches handed to DistSender, not the RPCs sent to individual Ranges as a result."
distsender_rpc_merge_sent,cockroachdb.distsender.rpc.merge.sent.count,"Number of Merge requests processed. This counts the requests in batches handed to DistSender, not the RPCs sent to individual Ranges as a result."
distsender_rpc_migrate_sent,cockroachdb.distsender.rpc.migrate.sent.count,"Number of Migrate requests processed. This counts the requests in batches handed to DistSender, not the RPCs sent to individual Ranges as a result."
distsender_rpc_probe_sent,cockroachdb.distsender.rpc.probe.sent.count,"Number of Probe requests processed. This counts the requests in batches handed to DistSender, not the RPCs sent to individual Ranges as a result."
distsender_rpc_pushtxn_sent,cockroachdb.distsender.rpc.pushtxn.sent.count,"Number of PushTxn requests processed. This counts the requests in batches handed to DistSender, not the RPCs sent to individual Ranges as a result."
distsender_rpc_put_sent,cockroachdb.distsender.rpc.put.sent.count,"Number of Put requests processed. This counts the requests in batches handed to DistSender, not the RPCs sent to individual Ranges as a result."
distsender_rpc_queryintent_sent,cockroachdb.distsender.rpc.queryintent.sent.count,"Number of QueryIntent requests processed. This counts the requests in batches handed to DistSender, not the RPCs sent to individual Ranges as a result."
distsender_rpc_querylocks_sent,cockroachdb.distsender.rpc.querylocks.sent.count,"Number of QueryLocks requests processed. This counts the requests in batches handed to DistSender, not the RPCs sent to individual Ranges as a result."
distsender_rpc_queryresolvedtimestamp_sent,cockroachdb.distsender.rpc.queryresolvedtimestamp.sent.count,"Number of QueryResolvedTimestamp requests processed. This counts the requests in batches handed to DistSender, not the RPCs sent to individual Ranges as a result."
distsender_rpc_querytxn_sent,cockroachdb.distsender.rpc.querytxn.sent.count,"Number of QueryTxn requests processed. This counts the requests in batches handed to DistSender, not the RPCs sent to individual Ranges as a result."
distsender_rpc_rangestats_sent,cockroachdb.distsender.rpc.rangestats.sent.count,"Number of RangeStats requests processed. This counts the requests in batches handed to DistSender, not the RPCs sent to individual Ranges as a result."
distsender_rpc_recomputestats_sent,cockroachdb.distsender.rpc.recomputestats.sent.count,"Number of RecomputeStats requests processed. This counts the requests in batches handed to DistSender, not the RPCs sent to individual Ranges as a result."
distsender_rpc_recovertxn_sent,cockroachdb.distsender.rpc.recovertxn.sent.count,"Number of RecoverTxn requests processed. This counts the requests in batches handed to DistSender, not the RPCs sent to individual Ranges as a result."
distsender_rpc_refresh_sent,cockroachdb.distsender.rpc.refresh.sent.count,"Number of Refresh requests processed. This counts the requests in batches handed to DistSender, not the RPCs sent to individual Ranges as a result."
distsender_rpc_refreshrange_sent,cockroachdb.distsender.rpc.refreshrange.sent.count,"Number of RefreshRange requests processed. This counts the requests in batches handed to DistSender, not the RPCs sent to individual Ranges as a result."
distsender_rpc_requestlease_sent,cockroachdb.distsender.rpc.requestlease.sent.count,"Number of RequestLease requests processed. This counts the requests in batches handed to DistSender, not the RPCs sent to individual Ranges as a result."
distsender_rpc_resolveintent_sent,cockroachdb.distsender.rpc.resolveintent.sent.count,"Number of ResolveIntent requests processed. This counts the requests in batches handed to DistSender, not the RPCs sent to individual Ranges as a result."
distsender_rpc_resolveintentrange_sent,cockroachdb.distsender.rpc.resolveintentrange.sent.count,"Number of ResolveIntentRange requests processed. This counts the requests in batches handed to DistSender, not the RPCs sent to individual Ranges as a result."
distsender_rpc_reversescan_sent,cockroachdb.distsender.rpc.reversescan.sent.count,"Number of ReverseScan requests processed. This counts the requests in batches handed to DistSender, not the RPCs sent to individual Ranges as a result."
distsender_rpc_revertrange_sent,cockroachdb.distsender.rpc.revertrange.sent.count,"Number of RevertRange requests processed. This counts the requests in batches handed to DistSender, not the RPCs sent to individual Ranges as a result."
distsender_rpc_scan_sent,cockroachdb.distsender.rpc.scan.sent.count,"Number of Scan requests processed. This counts the requests in batches handed to DistSender, not the RPCs sent to individual Ranges as a result."
distsender_rpc_sent,cockroachdb.distsender.rpc.sent.count,Number of replica-addressed RPCs sent
distsender_rpc_sent_local,cockroachdb.distsender.rpc.sent.local.count,Number of replica-addressed RPCs sent through the local-server optimization
distsender_rpc_sent_nextreplicaerror,cockroachdb.distsender.rpc.sent.nextreplicaerror.count,Number of replica-addressed RPCs sent due to per-replica errors
distsender_rpc_subsume_sent,cockroachdb.distsender.rpc.subsume.sent.count,"Number of Subsume requests processed. This counts the requests in batches handed to DistSender, not the RPCs sent to individual Ranges as a result."
distsender_rpc_transferlease_sent,cockroachdb.distsender.rpc.transferlease.sent.count,"Number of TransferLease requests processed. This counts the requests in batches handed to DistSender, not the RPCs sent to individual Ranges as a result."
distsender_rpc_truncatelog_sent,cockroachdb.distsender.rpc.truncatelog.sent.count,"Number of TruncateLog requests processed. This counts the requests in batches handed to DistSender, not the RPCs sent to individual Ranges as a result."
distsender_rpc_writebatch_sent,cockroachdb.distsender.rpc.writebatch.sent.count,"Number of WriteBatch requests processed. This counts the requests in batches handed to DistSender, not the RPCs sent to individual Ranges as a result."
exec_error,cockroachdb.exec.error.count,"Number of batch KV requests that failed to execute on this node. This count excludes transaction restart/abort errors. However, it will include other errors expected during normal operation, such as ConditionFailedError. This metric is thus not an indicator of KV health."
exec_latency,cockroachdb.exec.latency.count,"Latency of batch KV requests (including errors) executed on this node. This measures requests already addressed to a single replica, from the moment at which they arrive at the internal gRPC endpoint to the moment at which the response (or an error) is returned. This latency includes in particular commit waits, conflict resolution and replication, and end-users can easily produce high measurements via long-running transactions that conflict with foreground traffic. This metric thus does not provide a good signal for understanding the health of the KV layer."
exec_success,cockroachdb.exec.success.count,Number of batch KV requests executed successfully on this node. A request is considered to have executed 'successfully' if it either returns a result or a transaction restart/abort error.
follower_reads_success_count,cockroachdb.follower_reads.success_count.count,Number of reads successfully processed by any replica
gcbytesage,cockroachdb.gcbytesage,Cumulative age of non-live data
gossip_bytes_received,cockroachdb.gossip.bytes.received.count,Number of received gossip bytes
gossip_bytes_sent,cockroachdb.gossip.bytes.sent.count,Number of sent gossip bytes
gossip_connections_incoming,cockroachdb.gossip.connections.incoming,Number of active incoming gossip connections
gossip_connections_outgoing,cockroachdb.gossip.connections.outgoing,Number of active outgoing gossip connections
gossip_connections_refused,cockroachdb.gossip.connections.refused.count,Number of refused incoming gossip connections
gossip_infos_received,cockroachdb.gossip.infos.received.count,Number of received gossip Info objects
gossip_infos_sent,cockroachdb.gossip.infos.sent.count,Number of sent gossip Info objects
intentage,cockroachdb.intentage,Cumulative age of locks
intentbytes,cockroachdb.intentbytes,Number of bytes in intent KV pairs
intentcount,cockroachdb.intentcount,Count of intent keys
intentresolver_async_throttled,cockroachdb.intentresolver.async.throttled,Number of intent resolution attempts not run asynchronously due to throttling
intentresolver_async_throttled,cockroachdb.intentresolver.async.throttled.count,Number of intent resolution attempts not run asynchronously due to throttling
intentresolver_finalized_txns_failed,cockroachdb.intentresolver.finalized_txns.failed,Number of finalized transaction cleanup failures. Transaction cleanup refers to the process of resolving all of a transactions intents and then garbage collecting its transaction record.
intentresolver_finalized_txns_failed,cockroachdb.intentresolver.finalized_txns.failed.count,Number of finalized transaction cleanup failures. Transaction cleanup refers to the process of resolving all of a transactions intents and then garbage collecting its transaction record.
intentresolver_intents_failed,cockroachdb.intentresolver.intents.failed,"Number of intent resolution failures. The unit of measurement is a single intent, so if a batch of intent resolution requests fails, the metric will be incremented for each request in the batch."
intentresolver_intents_failed,cockroachdb.intentresolver.intents.failed.count,"Number of intent resolution failures. The unit of measurement is a single intent, so if a batch of intent resolution requests fails, the metric will be incremented for each request in the batch."
intents_abort_attempts,cockroachdb.intents.abort_attempts,Count of (point or range) non-poisoning intent abort evaluation attempts
intents_abort_attempts,cockroachdb.intents.abort_attempts.count,Count of (point or range) non-poisoning intent abort evaluation attempts
intents_poison_attempts,cockroachdb.intents.poison_attempts.count,Count of (point or range) poisoning intent abort evaluation attempts
intents_poison_attempts,cockroachdb.intents.poison_attempts,Count of (point or range) poisoning intent abort evaluation attempts
intents_resolve_attempts,cockroachdb.intents.resolve_attempts,Count of (point or range) intent commit evaluation attempts
intents_resolve_attempts,cockroachdb.intents.resolve_attempts.count,Count of (point or range) intent commit evaluation attempts
jobs_adopt_iterations,cockroachdb.jobs.adopt_iterations.count,number of job-adopt iterations performed by the registry
jobs_auto_config_env_runner_currently_idle,cockroachdb.jobs.auto_config_env_runner.currently_idle,Number of auto_config_env_runner jobs currently considered Idle and can be freely shut down
jobs_auto_config_env_runner_currently_paused,cockroachdb.jobs.auto_config_env_runner.currently_paused,Number of auto_config_env_runner jobs currently considered Paused
jobs_auto_config_env_runner_currently_running,cockroachdb.jobs.auto_config_env_runner.currently_running,Number of auto_config_env_runner jobs currently running in Resume or OnFailOrCancel state
jobs_auto_config_env_runner_expired_pts_records,cockroachdb.jobs.auto_config_env_runner.expired_pts_records.count,Number of expired protected timestamp records owned by auto_config_env_runner jobs
jobs_auto_config_env_runner_fail_or_cancel_completed,cockroachdb.jobs.auto_config_env_runner.fail_or_cancel_completed.count,Number of auto_config_env_runner jobs which successfully completed their failure or cancelation process
jobs_auto_config_env_runner_fail_or_cancel_failed,cockroachdb.jobs.auto_config_env_runner.fail_or_cancel_failed.count,Number of auto_config_env_runner jobs which failed with a non-retriable error on their failure or cancelation process
jobs_auto_config_env_runner_fail_or_cancel_retry_error,cockroachdb.jobs.auto_config_env_runner.fail_or_cancel_retry_error.count,Number of auto_config_env_runner jobs which failed with a retriable error on their failure or cancelation process
jobs_auto_config_env_runner_protected_age_sec,cockroachdb.jobs.auto_config_env_runner.protected_age_sec,The age of the oldest PTS record protected by auto_config_env_runner jobs
jobs_auto_config_env_runner_protected_record_count,cockroachdb.jobs.auto_config_env_runner.protected_record_count,Number of protected timestamp records held by auto_config_env_runner jobs
jobs_auto_config_env_runner_resume_completed,cockroachdb.jobs.auto_config_env_runner.resume_completed.count,Number of auto_config_env_runner jobs which successfully resumed to completion
jobs_auto_config_env_runner_resume_failed,cockroachdb.jobs.auto_config_env_runner.resume_failed.count,Number of auto_config_env_runner jobs which failed with a non-retriable error
jobs_auto_config_env_runner_resume_retry_error,cockroachdb.jobs.auto_config_env_runner.resume_retry_error.count,Number of auto_config_env_runner jobs which failed with a retriable error
jobs_auto_config_runner_currently_idle,cockroachdb.jobs.auto_config_runner.currently_idle,Number of auto_config_runner jobs currently considered Idle and can be freely shut down
jobs_auto_config_runner_currently_paused,cockroachdb.jobs.auto_config_runner.currently_paused,Number of auto_config_runner jobs currently considered Paused
jobs_auto_config_runner_currently_running,cockroachdb.jobs.auto_config_runner.currently_running,Number of auto_config_runner jobs currently running in Resume or OnFailOrCancel state
jobs_auto_config_runner_expired_pts_records,cockroachdb.jobs.auto_config_runner.expired_pts_records.count,Number of expired protected timestamp records owned by auto_config_runner jobs
jobs_auto_config_runner_fail_or_cancel_completed,cockroachdb.jobs.auto_config_runner.fail_or_cancel_completed.count,Number of auto_config_runner jobs which successfully completed their failure or cancelation process
jobs_auto_config_runner_fail_or_cancel_failed,cockroachdb.jobs.auto_config_runner.fail_or_cancel_failed.count,Number of auto_config_runner jobs which failed with a non-retriable error on their failure or cancelation process
jobs_auto_config_runner_fail_or_cancel_retry_error,cockroachdb.jobs.auto_config_runner.fail_or_cancel_retry_error.count,Number of auto_config_runner jobs which failed with a retriable error on their failure or cancelation process
jobs_auto_config_runner_protected_age_sec,cockroachdb.jobs.auto_config_runner.protected_age_sec,The age of the oldest PTS record protected by auto_config_runner jobs
jobs_auto_config_runner_protected_record_count,cockroachdb.jobs.auto_config_runner.protected_record_count,Number of protected timestamp records held by auto_config_runner jobs
jobs_auto_config_runner_resume_completed,cockroachdb.jobs.auto_config_runner.resume_completed.count,Number of auto_config_runner jobs which successfully resumed to completion
jobs_auto_config_runner_resume_failed,cockroachdb.jobs.auto_config_runner.resume_failed.count,Number of auto_config_runner jobs which failed with a non-retriable error
jobs_auto_config_runner_resume_retry_error,cockroachdb.jobs.auto_config_runner.resume_retry_error.count,Number of auto_config_runner jobs which failed with a retriable error
jobs_auto_config_task_currently_idle,cockroachdb.jobs.auto_config_task.currently_idle,Number of auto_config_task jobs currently considered Idle and can be freely shut down
jobs_auto_config_task_currently_paused,cockroachdb.jobs.auto_config_task.currently_paused,Number of auto_config_task jobs currently considered Paused
jobs_auto_config_task_currently_running,cockroachdb.jobs.auto_config_task.currently_running,Number of auto_config_task jobs currently running in Resume or OnFailOrCancel state
jobs_auto_config_task_expired_pts_records,cockroachdb.jobs.auto_config_task.expired_pts_records.count,Number of expired protected timestamp records owned by auto_config_task jobs
jobs_auto_config_task_fail_or_cancel_completed,cockroachdb.jobs.auto_config_task.fail_or_cancel_completed.count,Number of auto_config_task jobs which successfully completed their failure or cancelation process
jobs_auto_config_task_fail_or_cancel_failed,cockroachdb.jobs.auto_config_task.fail_or_cancel_failed.count,Number of auto_config_task jobs which failed with a non-retriable error on their failure or cancelation process
jobs_auto_config_task_fail_or_cancel_retry_error,cockroachdb.jobs.auto_config_task.fail_or_cancel_retry_error.count,Number of auto_config_task jobs which failed with a retriable error on their failure or cancelation process
jobs_auto_config_task_protected_age_sec,cockroachdb.jobs.auto_config_task.protected_age_sec,The age of the oldest PTS record protected by auto_config_task jobs
jobs_auto_config_task_protected_record_count,cockroachdb.jobs.auto_config_task.protected_record_count,Number of protected timestamp records held by auto_config_task jobs
jobs_auto_config_task_resume_completed,cockroachdb.jobs.auto_config_task.resume_completed.count,Number of auto_config_task jobs which successfully resumed to completion
jobs_auto_config_task_resume_failed,cockroachdb.jobs.auto_config_task.resume_failed.count,Number of auto_config_task jobs which failed with a non-retriable error
jobs_auto_config_task_resume_retry_error,cockroachdb.jobs.auto_config_task.resume_retry_error.count,Number of auto_config_task jobs which failed with a retriable error
jobs_auto_create_stats_currently_idle,cockroachdb.jobs.auto_create_stats.currently_idle,Number of auto_create_stats jobs currently considered Idle and can be freely shut down
jobs_auto_create_stats_currently_paused,cockroachdb.jobs.auto.create.stats.currently_paused,Number of auto_create_stats jobs currently considered Paused
jobs_auto_create_stats_currently_paused,cockroachdb.jobs.auto_create_stats.currently_paused,Number of auto_create_stats jobs currently considered Paused
jobs_auto_create_stats_currently_running,cockroachdb.jobs.auto_create_stats.currently_running,Number of auto_create_stats jobs currently running in Resume or OnFailOrCancel state
jobs_auto_create_stats_currently_running,cockroachdb.jobs.auto.create.stats.currently_running,Number of auto_create_stats jobs currently running in Resume or OnFailOrCancel state
jobs_auto_create_stats_expired_pts_records,cockroachdb.jobs.auto_create_stats.expired_pts_records.count,Number of expired protected timestamp records owned by auto_create_stats jobs
jobs_auto_create_stats_fail_or_cancel_completed,cockroachdb.jobs.auto_create_stats.fail_or_cancel_completed.count,Number of auto_create_stats jobs which successfully completed their failure or cancelation process
jobs_auto_create_stats_fail_or_cancel_failed,cockroachdb.jobs.auto_create_stats.fail_or_cancel_failed.count,Number of auto_create_stats jobs which failed with a non-retriable error on their failure or cancelation process
jobs_auto_create_stats_fail_or_cancel_retry_error,cockroachdb.jobs.auto_create_stats.fail_or_cancel_retry_error.count,Number of auto_create_stats jobs which failed with a retriable error on their failure or cancelation process
jobs_auto_create_stats_protected_age_sec,cockroachdb.jobs.auto_create_stats.protected_age_sec,The age of the oldest PTS record protected by auto_create_stats jobs
jobs_auto_create_stats_protected_record_count,cockroachdb.jobs.auto_create_stats.protected_record_count,Number of protected timestamp records held by auto_create_stats jobs
jobs_auto_create_stats_resume_completed,cockroachdb.jobs.auto_create_stats.resume_completed.count,Number of auto_create_stats jobs which successfully resumed to completion
jobs_auto_create_stats_resume_failed,cockroachdb.jobs.auto.create.stats.resume_failed.count,Number of auto_create_stats jobs which failed with a non-retriable error
jobs_auto_create_stats_resume_failed,cockroachdb.jobs.auto_create_stats.resume_failed.count,Number of auto_create_stats jobs which failed with a non-retriable error
jobs_auto_create_stats_resume_retry_error,cockroachdb.jobs.auto_create_stats.resume_retry_error.count,Number of auto_create_stats jobs which failed with a retriable error
jobs_auto_schema_telemetry_currently_idle,cockroachdb.jobs.auto_schema_telemetry.currently_idle,Number of auto_schema_telemetry jobs currently considered Idle and can be freely shut down
jobs_auto_schema_telemetry_currently_paused,cockroachdb.jobs.auto_schema_telemetry.currently_paused,Number of auto_schema_telemetry jobs currently considered Paused
