metric_name,metric_type,interval,unit_name,per_unit_name,description,orientation,integration,curated_metric
zookeeper.time_waiting_empty_pool_in_commit_processor_read_ms,gauge,,,,[zookeeper version 3.6+ only] Histogram of time_waiting_empty_pool_in_commit_processor_read_ms,0,zookeeper,
zookeeper.time_waiting_empty_pool_in_commit_processor_read_ms_count,gauge,,,,[zookeeper version 3.6+ only] Total count of time_waiting_empty_pool_in_commit_processor_read_ms,0,zookeeper,
zookeeper.time_waiting_empty_pool_in_commit_processor_read_ms_sum,gauge,,,,[zookeeper version 3.6+ only] Sum of time_waiting_empty_pool_in_commit_processor_read_ms,0,zookeeper,
zookeeper.timeouts,rate,,occurrence,,The rate of timeouts the Datadog Agent received when trying to collect stats.,-1,zookeeper,
zookeeper.tls_handshake_exceeded,gauge,,,,[zookeeper version 3.6+ only],0,zookeeper,
zookeeper.unrecoverable_error_count,gauge,,,,[zookeeper version 3.6+ only],0,zookeeper,
zookeeper.updatelatency,gauge,,,,[zookeeper version 3.6+ only] Histogram of updatelatency Update request latency,0,zookeeper,
zookeeper.updatelatency_count,gauge,,,,[zookeeper version 3.6+ only] Total count of updatelatency Update request latency,0,zookeeper,
zookeeper.updatelatency_sum,gauge,,,,[zookeeper version 3.6+ only] Sum of updatelatency Update request latency,0,zookeeper,
zookeeper.uptime,gauge,,,,[zookeeper version 3.6+ only] Uptime that a peer has been in a table leading/following/observing state,0,zookeeper,
zookeeper.watch_count,gauge,,,,,0,zookeeper,
zookeeper.write_batch_time_in_commit_processor,gauge,,,,[zookeeper version 3.6+ only] Histogram of write_batch_time_in_commit_processor,0,zookeeper,
zookeeper.write_batch_time_in_commit_processor_count,gauge,,,,[zookeeper version 3.6+ only] Total count of write_batch_time_in_commit_processor,0,zookeeper,
zookeeper.write_batch_time_in_commit_processor_sum,gauge,,,,[zookeeper version 3.6+ only] Sum of write_batch_time_in_commit_processor,0,zookeeper,
zookeeper.write_commit_proc_issued,gauge,,,,[zookeeper version 3.6+ only] Histogram of write_commit_proc_issued,0,zookeeper,
zookeeper.write_commit_proc_issued_count,gauge,,,,[zookeeper version 3.6+ only] Total count of write_commit_proc_issued,0,zookeeper,
zookeeper.write_commit_proc_issued_sum,gauge,,,,[zookeeper version 3.6+ only] Sum of write_commit_proc_issued,0,zookeeper,
zookeeper.write_commit_proc_req_queued,gauge,,,,[zookeeper version 3.6+ only] Histogram of write_commit_proc_req_queued,0,zookeeper,
zookeeper.write_commit_proc_req_queued_count,gauge,,,,[zookeeper version 3.6+ only] Total count of write_commit_proc_req_queued,0,zookeeper,
zookeeper.write_commit_proc_req_queued_sum,gauge,,,,[zookeeper version 3.6+ only] Sum of write_commit_proc_req_queued,0,zookeeper,
zookeeper.write_commitproc_time_ms,gauge,,,,[zookeeper version 3.6+ only] Histogram of write_commitproc_time_ms,0,zookeeper,
zookeeper.write_commitproc_time_ms_count,gauge,,,,[zookeeper version 3.6+ only] Total count of write_commitproc_time_ms,0,zookeeper,
zookeeper.write_commitproc_time_ms_sum,gauge,,,,[zookeeper version 3.6+ only] Sum of write_commitproc_time_ms,0,zookeeper,
zookeeper.write_final_proc_time_ms,gauge,,,,[zookeeper version 3.6+ only] Histogram of write_final_proc_time_ms,0,zookeeper,
zookeeper.write_final_proc_time_ms_count,gauge,,,,[zookeeper version 3.6+ only] Total count of write_final_proc_time_ms,0,zookeeper,
zookeeper.write_final_proc_time_ms_sum,gauge,,,,[zookeeper version 3.6+ only] Sum of write_final_proc_time_ms,0,zookeeper,
zookeeper.znode_count,gauge,,node,,The number of znodes in the ZooKeeper namespace (the data).,0,zookeeper,
zookeeper.zxid.count,gauge,,,,,0,zookeeper,
zookeeper.zxid.epoch,gauge,,,,,0,zookeeper,
